fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
2044,1,Alex Oliveira,0,7,12,58%,9,14,0,0,---,0,0,0:00,1,6,1,1,5,5,7,12,0,0,0,0
2044,1,Randy Brown,1,16,32,50%,23,39,0,0,---,1,0,1:23,10,24,1,2,5,6,8,21,0,0,8,11
2045,1,Dwight Grant,0,14,49,28%,16,51,0,0,---,0,0,0:00,6,37,3,5,5,7,14,49,0,0,0,0
2045,1,Stefan Sekulic,0,7,13,53%,12,19,1,1,100%,0,0,0:26,2,7,2,3,3,3,5,11,0,0,2,2
2045,2,Dwight Grant,0,18,58,31%,18,58,0,0,---,0,0,0:00,11,47,2,6,5,5,16,56,2,2,0,0
2045,2,Stefan Sekulic,0,12,20,60%,13,21,1,4,25%,0,0,0:56,4,12,1,1,7,7,12,20,0,0,0,0
2045,3,Dwight Grant,0,17,49,34%,18,51,1,1,100%,0,0,0:25,11,42,5,6,1,1,15,47,0,0,2,2
2045,3,Stefan Sekulic,0,14,19,73%,14,19,1,2,50%,1,0,0:42,8,12,2,3,4,4,14,19,0,0,0,0
2046,1,Karl Roberson,0,6,14,42%,15,24,0,0,---,0,0,0:00,5,11,0,2,1,1,6,14,0,0,0,0
2046,1,Brendan Allen,0,9,16,56%,15,22,2,2,100%,1,0,3:16,4,11,1,1,4,4,9,16,0,0,0,0
2047,1,Pat Sabatini,1,11,16,68%,33,43,0,0,---,0,0,4:05,9,13,1,1,1,2,5,10,0,0,6,6
2047,1,Tristan Connelly,0,3,8,37%,6,15,0,0,---,0,0,0:00,2,7,0,0,1,1,3,8,0,0,0,0
2047,2,Pat Sabatini,0,8,15,53%,30,38,1,1,100%,1,0,4:18,6,13,2,2,0,0,3,9,0,0,5,6
2047,2,Tristan Connelly,0,4,15,26%,47,61,0,0,---,0,0,0:00,3,14,0,0,1,1,3,14,0,0,1,1
2047,3,Pat Sabatini,0,7,14,50%,10,17,0,4,0%,0,0,1:35,3,10,4,4,0,0,3,8,4,6,0,0
2047,3,Tristan Connelly,0,12,27,44%,34,49,1,1,100%,0,0,1:20,5,20,6,6,1,1,8,20,4,6,0,1
2048,1,Batgerel Danaa,1,7,15,46%,8,16,0,0,---,0,0,0:04,7,15,0,0,0,0,3,8,0,0,4,7
2048,1,Kevin Natividad,0,3,8,37%,3,8,0,0,---,0,0,0:00,1,5,2,3,0,0,3,8,0,0,0,0
2049,1,Kazula Vargas,0,47,82,57%,47,82,0,0,---,0,0,0:00,17,47,18,21,12,14,47,82,0,0,0,0
2049,1,Rongzhu,0,13,32,40%,13,32,0,0,---,0,0,0:00,11,29,2,3,0,0,13,32,0,0,0,0
2049,2,Kazula Vargas,0,8,13,61%,23,29,0,0,---,1,1,1:10,3,8,2,2,3,3,6,11,1,1,1,1
2049,2,Rongzhu,0,2,7,28%,7,12,2,3,66%,0,0,2:32,2,7,0,0,0,0,1,5,0,0,1,2
2049,3,Kazula Vargas,0,41,81,50%,41,81,0,1,0%,0,0,0:00,30,66,9,11,2,4,41,81,0,0,0,0
2049,3,Rongzhu,0,27,66,40%,29,70,1,1,100%,0,0,0:12,27,65,0,1,0,0,26,63,0,0,1,3
2050,1,Aoriqileng,0,17,40,42%,24,49,1,2,50%,0,0,1:44,9,31,7,8,1,1,13,33,4,7,0,0
2050,1,Jeff Molina,0,18,35,51%,35,53,0,0,---,0,0,0:40,11,25,6,7,1,3,11,28,7,7,0,0
2050,2,Aoriqileng,0,42,93,45%,42,93,1,1,100%,0,0,0:06,26,76,13,14,3,3,42,93,0,0,0,0
2050,2,Jeff Molina,2,44,101,43%,45,102,0,1,0%,0,0,0:03,36,90,5,8,3,3,42,99,1,1,1,1
2050,3,Aoriqileng,0,57,125,45%,59,127,1,1,100%,0,0,0:10,42,107,13,16,2,2,56,122,1,3,0,0
2050,3,Jeff Molina,0,127,220,57%,130,223,0,0,---,0,0,0:00,120,213,7,7,0,0,125,218,2,2,0,0
2051,1,Liang Na,0,13,19,68%,26,34,2,3,66%,1,2,2:25,9,15,4,4,0,0,6,11,5,5,2,3
2051,1,Ariane Carnelossi,0,16,20,80%,65,81,0,0,---,0,2,1:55,16,20,0,0,0,0,4,6,4,4,8,10
2051,2,Liang Na,0,6,8,75%,10,13,1,1,100%,0,0,0:23,4,6,2,2,0,0,4,6,2,2,0,0
2051,2,Ariane Carnelossi,0,8,12,66%,26,32,0,0,---,0,1,0:41,7,11,0,0,1,1,2,5,1,1,5,6
2052,1,Robert Whittaker,0,18,42,42%,33,57,1,1,100%,0,0,2:28,16,38,0,1,2,3,14,34,0,0,4,8
2052,1,Kelvin Gastelum,0,8,19,42%,8,19,0,0,---,0,0,0:00,3,13,1,2,4,4,8,19,0,0,0,0
2052,2,Robert Whittaker,0,43,74,58%,44,75,1,1,100%,0,0,0:06,33,61,5,8,5,5,39,69,2,2,2,3
2052,2,Kelvin Gastelum,0,14,61,22%,16,63,0,2,0%,0,0,0:13,9,56,1,1,4,4,14,61,0,0,0,0
2052,3,Robert Whittaker,0,38,64,59%,38,64,0,1,0%,0,0,0:00,27,53,6,6,5,5,36,61,2,3,0,0
2052,3,Kelvin Gastelum,0,20,57,35%,20,57,0,0,---,0,0,0:00,12,47,3,4,5,6,20,55,0,2,0,0
2052,4,Robert Whittaker,0,33,71,46%,33,71,0,1,0%,0,0,0:00,25,61,2,3,6,7,32,69,1,2,0,0
2052,4,Kelvin Gastelum,0,13,43,30%,13,43,1,3,33%,0,0,0:02,12,41,1,2,0,0,10,39,3,4,0,0
2052,5,Robert Whittaker,0,18,33,54%,21,36,2,3,66%,0,0,1:45,14,28,0,1,4,4,17,32,0,0,1,1
2052,5,Kelvin Gastelum,0,7,29,24%,13,36,0,0,---,0,0,0:11,6,28,1,1,0,0,7,29,0,0,0,0
2053,1,Andrei Arlovski,0,27,65,41%,27,65,0,0,---,0,0,0:00,15,51,4,6,8,8,25,61,2,4,0,0
2053,1,Chase Sherman,0,33,69,47%,33,69,0,0,---,0,0,0:00,22,55,6,8,5,6,31,66,2,3,0,0
2053,2,Andrei Arlovski,0,32,69,46%,36,73,0,0,---,0,0,0:39,16,47,10,12,6,10,32,68,0,1,0,0
2053,2,Chase Sherman,0,21,58,36%,32,69,0,0,---,0,0,0:00,12,49,4,4,5,5,20,57,1,1,0,0
2053,3,Andrei Arlovski,0,46,88,52%,46,88,0,0,---,0,0,0:00,23,56,12,21,11,11,46,88,0,0,0,0
2053,3,Chase Sherman,0,34,65,52%,34,65,0,0,---,0,0,0:00,21,50,6,8,7,7,33,64,1,1,0,0
