fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
3753,1,Sean Strickland,0,25,109,22%,25,109,1,1,100%,0,0,0:25,25,106,0,3,0,0,25,109,0,0,0,0
3753,2,Court McGee,0,22,107,20%,34,119,0,6,0%,0,0,0:38,5,75,5,14,12,18,22,106,0,1,0,0
3753,2,Sean Strickland,0,31,85,36%,31,85,0,0,---,0,0,0:03,30,81,1,4,0,0,31,84,0,1,0,0
3753,3,Court McGee,0,16,46,34%,41,78,0,5,0%,0,0,1:03,9,31,2,9,5,6,13,42,3,3,0,1
3753,3,Sean Strickland,0,22,60,36%,53,94,2,2,100%,1,0,2:15,22,60,0,0,0,0,9,41,1,2,12,17
3754,1,Jake Collier,0,29,75,38%,39,86,0,1,0%,0,0,0:04,13,52,8,13,8,10,28,73,1,2,0,0
3754,1,Marcel Fortuna,0,23,48,47%,23,48,0,1,0%,0,0,0:22,19,41,3,5,1,2,21,46,2,2,0,0
3754,2,Jake Collier,0,24,72,33%,43,92,0,0,---,0,1,0:57,17,63,3,5,4,4,20,67,0,1,4,4
3754,2,Marcel Fortuna,0,13,37,35%,19,43,1,3,33%,1,0,0:43,8,31,5,6,0,0,12,33,1,3,0,1
3754,3,Jake Collier,0,41,100,41%,42,101,0,1,0%,0,1,0:10,25,84,8,8,8,8,40,95,1,4,0,1
3754,3,Marcel Fortuna,0,23,55,41%,23,55,0,5,0%,0,0,0:02,22,50,1,4,0,1,21,53,2,2,0,0
3755,1,Darren Stewart,0,6,20,30%,6,20,0,1,0%,0,0,0:34,3,9,0,3,3,8,4,18,2,2,0,0
3755,1,Karl Roberson,0,17,23,73%,21,29,1,1,100%,2,0,1:14,12,17,5,6,0,0,5,9,9,9,3,5
3756,1,Michael Bisping,0,7,34,20%,8,35,0,0,---,0,0,0:00,7,32,0,1,0,1,7,34,0,0,0,0
3756,1,Georges St-Pierre,0,15,35,42%,15,35,1,2,50%,0,0,0:21,10,27,0,2,5,6,14,34,1,1,0,0
3756,2,Michael Bisping,0,12,54,22%,17,59,0,0,---,0,0,0:00,7,44,1,5,4,5,12,54,0,0,0,0
3756,2,Georges St-Pierre,0,17,42,40%,17,42,1,1,100%,0,0,0:27,8,27,4,9,5,6,17,42,0,0,0,0
3756,3,Michael Bisping,0,8,18,44%,24,34,0,0,---,0,0,0:00,6,16,0,0,2,2,6,16,0,0,2,2
3756,3,Georges St-Pierre,1,27,42,64%,36,54,1,1,100%,1,0,2:28,23,38,1,1,3,3,8,16,0,0,19,26
3757,1,Cody Garbrandt,1,15,42,35%,16,43,0,0,---,0,0,0:04,13,37,2,4,0,1,14,39,0,0,1,3
3757,1,TJ Dillashaw,0,9,49,18%,9,49,0,0,---,0,0,0:00,3,27,1,9,5,13,9,49,0,0,0,0
3757,2,Cody Garbrandt,0,3,11,27%,3,11,0,0,---,0,0,0:00,3,10,0,1,0,0,3,11,0,0,0,0
3757,2,TJ Dillashaw,2,11,32,34%,14,36,0,1,0%,0,0,0:07,9,22,0,3,2,7,5,25,0,0,6,7
3758,1,Joanna Jedrzejczyk,0,5,42,11%,5,42,0,0,---,0,0,0:00,2,37,1,2,2,3,5,42,0,0,0,0
3758,1,Rose Namajunas,1,15,34,44%,18,37,0,0,---,0,0,0:26,14,32,0,0,1,2,8,23,0,1,7,10
3759,1,Stephen Thompson,0,13,27,48%,13,27,0,0,---,0,0,0:00,9,19,3,6,1,2,13,27,0,0,0,0
3759,1,Jorge Masvidal,0,12,33,36%,12,33,0,0,---,0,0,0:00,0,13,2,5,10,15,12,33,0,0,0,0
3759,2,Stephen Thompson,1,18,43,41%,18,43,0,0,---,0,0,0:03,14,37,2,4,2,2,18,43,0,0,0,0
3759,2,Jorge Masvidal,0,14,43,32%,14,43,0,1,0%,0,0,0:01,3,23,0,3,11,17,12,40,2,3,0,0
3759,3,Stephen Thompson,0,39,86,45%,39,86,0,0,---,0,0,0:01,26,61,12,24,1,1,39,85,0,1,0,0
3759,3,Jorge Masvidal,0,16,66,24%,16,66,0,1,0%,0,0,0:02,6,43,3,5,7,18,15,64,1,2,0,0
3760,1,Johny Hendricks,0,22,42,52%,22,42,0,2,0%,0,0,0:00,8,26,2,2,12,14,22,41,0,1,0,0
3760,1,Paulo Costa,0,29,60,48%,29,60,0,0,---,0,0,0:00,10,38,18,20,1,2,28,59,1,1,0,0
3760,2,Johny Hendricks,0,5,12,41%,5,12,0,2,0%,0,0,0:00,2,6,0,0,3,6,5,11,0,1,0,0
3760,2,Paulo Costa,1,20,30,66%,20,30,0,0,---,0,0,0:01,15,24,5,6,0,0,17,25,2,3,1,2
3761,1,James Vick,0,18,68,26%,18,68,0,0,---,0,0,0:00,11,54,5,11,2,3,17,67,1,1,0,0
