fight_id,fighter1,fighter2,result,bout,method,round,time,format,ref
4517,Dan Hooker,Mark Eddiva,Dan Hooker,Featherweight Bout,Submission,1,1:24,3 Rnd (5-5-5),Greg Kleynjans
4518,Leslie Smith,Rin Nakai,Leslie Smith,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John Sharp
4519,Richard Walsh,Viscardi Andrade,Viscardi Andrade,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard
4520,Ross Pearson,Chad Laprise,Ross Pearson,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Perceval
4521,Alan Patrick,Damien Brown,Alan Patrick,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Greg Kleynjans
4522,Conor McGregor,Nate Diaz,Nate Diaz,Welterweight Bout,Submission,2,4:12,5 Rnd (5-5-5-5-5),Herb Dean
4523,Holly Holm,Miesha Tate,Miesha Tate,UFC Women's Bantamweight Title Bout,Submission,5,3:30,5 Rnd (5-5-5-5-5),John McCarthy
4524,Gian Villante,Ilir Latifi,Ilir Latifi,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne
4525,Corey Anderson,Tom Lawlor,Corey Anderson,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy
4526,Amanda Nunes,Valentina Shevchenko,Amanda Nunes,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean
4527,Brandon Thatch,Siyar Bahadurzada,Siyar Bahadurzada,Welterweight Bout,Submission,3,4:11,3 Rnd (5-5-5),John McCarthy
4528,Erick Silva,Nordine Taleb,Nordine Taleb,Welterweight Bout,KO/TKO,2,1:34,3 Rnd (5-5-5),Herb Dean
4529,Vitor Miranda,Marcelo Guimaraes,Vitor Miranda,Middleweight Bout,KO/TKO,2,1:09,3 Rnd (5-5-5),Chris Tognoni
4530,Darren Elkins,Chas Skelly,Darren Elkins,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne
4531,Diego Sanchez,Jim Miller,Diego Sanchez,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni
4532,Jason Saggo,Justin Salas,Jason Saggo,Lightweight Bout,KO/TKO,1,4:31,3 Rnd (5-5-5),Yves Lavigne
4533,Julian Erosa,Teruto Ishihara,Teruto Ishihara,Featherweight Bout,KO/TKO,2,0:34,3 Rnd (5-5-5),Chris Tognoni
4534,Anderson Silva,Michael Bisping,Michael Bisping,Middleweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean
4535,Gegard Mousasi,Thales Leites,Gegard Mousasi,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard
4536,Tom Breese,Keita Nakamura,Tom Breese,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts
4537,Francisco Rivera,Brad Pickett,Brad Pickett,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Neil Hall
4538,Mike Wilkinson,Makwan Amirkhani,Makwan Amirkhani,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Grant Waterman
4539,Davey Grant,Marlon Vera,Davey Grant,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),
4540,Scott Askham,Chris Dempsey,Scott Askham,Middleweight Bout,KO/TKO,1,4:45,3 Rnd (5-5-5),Leon Roberts
4541,Arnold Allen,Yaotzin Meza,Arnold Allen,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Grant Waterman
4542,Brad Scott,Krzysztof Jotko,Krzysztof Jotko,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean
4543,Norman Parke,Rustam Khabilov,Rustam Khabilov,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),
4544,Daniel Omielanczuk,Jarjis Danho,Daniel Omielanczuk,Heavyweight Bout,Decision - Majority,3,1:31,3 Rnd (5-5-5),Leon Roberts
4545,Teemu Packalen,Thibault Gouti,Teemu Packalen,Lightweight Bout,Submission,1,0:24,3 Rnd (5-5-5),Grant Waterman
4546,David Teymur,Martin Svensson,David Teymur,Lightweight Bout,KO/TKO,2,1:26,3 Rnd (5-5-5),Neil Hall
4547,Donald Cerrone,Alex Oliveira,Donald Cerrone,Welterweight Bout,Submission,1,2:33,5 Rnd (5-5-5-5-5),Mario Yamasaki
4548,Derek Brunson,Roan Carneiro,Derek Brunson,Middleweight Bout,KO/TKO,1,2:38,3 Rnd (5-5-5),Keith Peterson
4549,Cody Garbrandt,Augusto Mendes,Cody Garbrandt,Catch Weight Bout,KO/TKO,1,4:18,3 Rnd (5-5-5),Mario Yamasaki
4550,Dennis Bermudez,Tatsuya Kawajiri,Dennis Bermudez,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson
4551,Chris Camozzi,Joe Riggs,Chris Camozzi,Middleweight Bout,KO/TKO,1,0:26,3 Rnd (5-5-5),Mario Yamasaki
4552,James Krause,Shane Campbell,James Krause,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson
4553,Alex Garcia,Sean Strickland,Sean Strickland,Welterweight Bout,KO/TKO,3,4:25,3 Rnd (5-5-5),Bill Bookwalter
4554,Daniel Sarafian,Oluwale Bamgbose,Oluwale Bamgbose,Middleweight Bout,KO/TKO,1,1:00,3 Rnd (5-5-5),James Chappell
4555,Anthony Smith,Leonardo Guimaraes,Anthony Smith,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chip Snider
4556,Jonavin Webb,Nathan Coy,Nathan Coy,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson
4557,Marion Reneau,Ashlee Evans-Smith,Ashlee Evans-Smith,Women's Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),James Chappell
4558,Lauren Murphy,Kelly Faszholz,Lauren Murphy,Women's Bantamweight Bout,KO/TKO,3,4:55,3 Rnd (5-5-5),Bill Bookwalter
4559,Anthony Hamilton,Shamil Abdurakhimov,Shamil Abdurakhimov,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chip Snider
4560,Johny Hendricks,Stephen Thompson,Stephen Thompson,Welterweight Bout,KO/TKO,1,3:31,5 Rnd (5-5-5-5-5),John McCarthy
